user,time,comment,roles_human
Jorneet Chen,00:01:02,晚上好,KOF
張家榮,00:01:16,晚上好,KOF
陳彥勳,00:01:22,嗨，晚上好,KOF
林育弘,00:01:45,晚上好,KOF
連世鴻,00:03:13,晚上好,KOF
易井田,00:03:40,晚上好,KOF
或許,00:03:45,晚上好,KOF
Alex Chen,00:03:53,晚上好,KOF
易井田,00:04:07,阿忠是我這輩子的偶像,KOF
陳英傑,00:04:19,阿中是我這輩子的偶像,KOF
張家榮,00:04:20,阿忠是我輩子偶像,KOF
或許,00:04:22,阿中是我這輩子的偶像,KOF
Alex Chen,00:04:26,阿忠是我這輩子的偶像,KOF
Jorneet Chen,00:04:27,阿忠是我這輩子的偶像,KOF
易井田,00:04:27,阿中是我這輩子的偶像,KOF
甲上上,00:04:33,阿中是我這輩子的偶像,KOF
或許,00:04:41,阿忠是我這輩子的偶像,KOF
鄭文達,00:04:44,阿中是我這輩子的偶像,KOF
楊和展,00:04:47,阿忠是我這輩子的偶像,KOF
Hong Wen Lin,00:04:47,阿中是我這輩子的偶像,KOF
Ericsson Lee,00:04:48,阿中是我這輩子的偶像,KOF
Jorneet Chen,00:04:49,阿中是我這輩子的偶像,KOF
Alex Chen,00:04:50,阿忠是我這輩子的偶像,KOF
張家榮,00:04:50,阿中是我輩子偶像,KOF
孟慧玲,00:04:50,阿中是我這輩子的偶像,KOF
或許,00:04:51,阿忠是我這輩子的偶像,KOF
Wau Chin A,00:04:51,阿中是我這輩子的偶像,KOF
陳英傑,00:04:53,阿中是我這輩子的偶像,KOF
甲上上,00:04:54,阿中是我這輩子的偶像,KOF
楊耕富,00:04:55,阿中是我這輩子的偶像,KOF
呂紹強,00:04:57,阿中是我這輩子的偶像,KOF
楊耕富,00:05:04,阿中是我這輩子的偶像,KOF
Alex Chen,00:05:11,阿忠是我這輩子的偶像,KOF
Cena Liu,00:05:16,阿中是我這輩子的偶像,KOF
陳英傑,00:05:16,阿中是我這輩子的偶像,KOF
呂紹強,00:05:19,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:05:23,阿中是我這輩子的偶像,KOF
或許,00:05:23,阿中是我這輩子的偶像,KOF
甲上上,00:05:24,阿中是我這輩子的偶像,KOF
楊耕富,00:05:25,阿中是我這輩子的偶像,KOF
Alex Chen,00:05:27,阿中是我這輩子的偶像,KOF
或許,00:05:31,阿中是我這輩子的偶像,KOF
Wawa Fan,00:05:33,阿中是我這輩子的偶像,KOF
陳彥勳,00:05:34,阿中是我這輩子的偶像,KOF
或許,00:05:35,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:05:38,阿中是我這輩子的偶像,KOF
或許,00:05:39,阿中是我這輩子的偶像,KOF
陳英傑,00:05:42,阿中是我這輩子的偶像,KOF
或許,00:05:42,阿中是我這輩子的偶像,KOF
或許,00:05:46,阿中是我這輩子的偶像,KOF
Jorneet Chen,00:05:47,阿忠是我這輩子的偶像,KOF
Ting-hao Ku,00:05:47,阿中是我這輩子的偶像,KOF
或許,00:05:49,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:05:52,阿中是我這輩子的偶像,KOF
Alex Chen,00:05:52,阿忠是我這輩子的偶像,KOF
或許,00:05:52,阿中是我這輩子的偶像,KOF
吕學義,00:05:52,阿中是我這輩子的偶像,KOF
或許,00:05:55,阿中是我這輩子的偶像,KOF
或許,00:05:58,阿中是我這輩子的偶像,KOF
陳賀邁,00:06:00,阿中是我這輩子偶像,KOF
甲上上,00:06:01,阿中是我這輩子的偶像,KOF
或許,00:06:02,阿中是我這輩子的偶像,KOF
連世鴻,00:06:02,阿忠是我這輩子的偶像,KOF
Alex Chen,00:06:04,阿中是我這輩子的偶像,KOF
楊耕富,00:06:05,阿中是我這輩子的偶像,KOF
或許,00:06:05,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:06:06,阿中是我這輩子的偶像,KOF
或許,00:06:08,阿中是我這輩子的偶像,KOF
吕學義,00:06:09,阿中是我這輩子的偶像,KOF
Alex Chen,00:06:09,阿中是我這輩子的偶像,KOF
楊耕富,00:06:10,阿中是我這輩子的偶像,KOF
或許,00:06:11,阿中是我這輩子的偶像,KOF
Jorneet Chen,00:06:12,阿中是我這輩子的偶像,KOF
或許,00:06:14,阿中是我這輩子的偶像,KOF
甲上上,00:06:15,阿中是我這輩子的偶像,KOF
Grace Lu,00:06:16,阿中是我這輩子的偶像,KOF
楊耕富,00:06:16,阿中是我這輩子的偶像,KOF
或許,00:06:17,阿中是我這輩子的偶像,KOF
Alex Chen,00:06:19,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:06:20,阿中是我這輩子的偶像,KOF
楊耕富,00:06:20,阿中是我這輩子的偶像,KOF
Jack Hsu,00:06:20,阿中是我這輩子的偶像,KOF
甲上上,00:06:21,阿中是我這輩子的偶像,KOF
Chiquito Chang,00:06:21,阿中是我這輩子偶像,KOF
楊耕富,00:06:23,阿中是我這輩子的偶像,KOF
Jack Yeh,00:06:23,阿忠是我這輩子的偶像,KOF
或許,00:06:27,阿中是我這輩子的偶像,KOF
甲上上,00:06:27,阿中是我這輩子的偶像,KOF
楊耕富,00:06:30,阿中是我這輩子的偶像,KOF
或許,00:06:31,阿中是我這輩子的偶像,KOF
Alex Chen,00:06:33,阿中是我這輩子的偶像,KOF
連世鴻,00:06:34,阿中是我這輩子的偶像,KOF
或許,00:06:34,阿中是我這輩子的偶像,KOF
中官發,00:06:35,阿中是我這輩子的偶像,KOF
廖文紹,00:06:35,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:06:36,阿中是我這輩子的偶像,KOF
楊耕富,00:06:37,阿中是我這輩子的偶像,KOF
連世鴻,00:06:42,阿中是我這輩子的偶像,KOF
Chiquito Chang,00:06:42,阿中是我這輩子偶像,KOF
陳賀邁,00:06:46,阿中是我這輩子的偶像,KOF
連世鴻,00:06:49,阿中是我這輩子的偶像,KOF
或許,00:06:52,阿中是我這輩子的偶像,KOF
鄭文達,00:06:54,阿中是我這輩子的偶像,KOF
或許,00:06:55,阿中是我這輩子的偶像,KOF
張家榮,00:06:57,阿中是我輩子偶像,KOF
或許,00:06:58,阿中是我這輩子的偶像,KOF
Alex Chen,00:06:59,阿中是我這輩子的偶像,KOF
連世鴻,00:07:00,阿中是我這輩子的偶像,KOF
或許,00:07:19,阿中是我這輩子的偶像,KOF
Chiquito Chang,00:07:21,阿中是我這輩子偶像,KOF
或許,00:07:22,阿中是我這輩子的偶像,KOF
或許,00:07:25,阿中是我這輩子的偶像,KOF
連世鴻,00:07:26,阿中是我這輩子的偶像,KOF
Hong Wen Lin,00:07:28,阿中爽到了,KOF
或許,00:07:28,阿中是我這輩子的偶像,KOF
或許,00:07:32,阿中是我這輩子的偶像,KOF
連世鴻,00:07:34,阿中是我這輩子的偶像,KOF
程泓榮,00:07:34,阿中是我這輩子的偶像,KOF
或許,00:07:35,阿中是我這輩子的偶像,KOF
文君,00:07:39,木友們晚上好,KOF
連世鴻,00:07:57,阿中是我這輩子的偶像,KOF
孟慧玲,00:07:57,在,KOF
Wau Chin A,00:08:00,在,KOF
賴澐謄,00:10:25,晚上好,KOF
Wau Chin A,00:11:20,木頭會找有緣人,other
Moyuman Tseng,00:12:25,龍潭有 獸性 肖楠,other
孟慧玲,00:15:54,瞭解，已截圖,other
Yu Xie,00:16:02,已截圖,other
林世峯,00:16:03,了解,other
Cena Liu,00:16:05,了解,other
楊耕富,00:16:06,了解,other
Wau Chin A,00:16:07,了解，已截,other
Moyuman Tseng,00:16:11,已截圖 口袋不了解,other
鄭文達,00:16:12,已截圖 了解,other
