user,time,comment,roles
黃明輝,00:00:08,午安,KOF
甲上上,00:00:46,午安,KOF
Charger Tsai,00:00:55,大木哥 午安,KOF
Andy Yang,00:01:08,下午好，大木哥,KOF
林昇賢,00:01:19,午安,KOF
黃瑞全,00:01:30,午安,KOF
夏旭明,00:01:47,下午好,KOF
陳政忠,00:01:48,大家下午好，已分享....,KOS
陳小文,00:02:18,下午好,KOF
黃瑞全,00:02:20,下午好，已分享直播,KOS
陳政忠,00:02:21,油庖丁,KOF
陳小文,00:02:42,油炮釘,KOF
林昇賢,00:02:46,油泡釘,KOF
余柏緯,00:02:52,已分享,KOS
余柏緯,00:02:58,油炮釘,KOF
林昇賢,00:03:00,油泡釘,KOF
黃瑞全,00:03:07,油炮釘,KOF
陳政忠,00:03:17,油泡釘,KOF
林昇賢,00:03:24,油泡釘,KOF
陳小文,00:03:28,油炮釘,KOF
Lin Story,00:03:30,油炮丁,KOF
黃正正,00:03:33,油炮釘,KOF
楊耕富,00:03:35,油炮釘,KOF
李建成,00:03:37,油炮釘,KOF
夏旭明,00:03:38,油炮丁,KOF
陳政忠,00:03:39,油炮釘,KOF
林昇賢,00:03:39,油炮釘,KOF
Lee Destry,00:03:43,油泡釘,KOF
黃正正,00:03:44,油炮釘,KOF
Jack Hsu,00:03:49,油炮釘,KOF
林昇賢,00:03:50,油炮釘,KOF
劉鳳,00:03:50,油炮釘,KOF
Alan Wang,00:03:51,油炮釘,KOF
甲上上,00:03:52,油炮釘,KOF
呂紹強,00:03:54,油炮釘,KOF
Lin Story,00:03:59,油炮釘,KOF
Hong Wen Lin,00:04:00,油炮釘,KOF
Andy Yang,00:04:02,油炮釘,KOF
易井田,00:04:03,油炮釘,KOF
甲上上,00:04:04,油炮釘,KOF
Charger Tsai,00:04:04,油炮釘,KOF
甘晉誠,00:04:06,油炮釘,KOF
林昇賢,00:04:07,油炮釘,KOF
夏旭明,00:04:07,油炮釘,KOF
楊耕富,00:04:11,油炮釘,KOF
李建成,00:04:12,油炮釘,KOF
甲上上,00:04:13,油炮釘,KOF
王彥景,00:04:14,油炮釘,KOF
易井田,00:04:14,油炮釘,KOF
牛頭耿,00:04:15,油炮叮,KOF
Lee Destry,00:04:18,油炮釘,KOF
陳小彥,00:04:19,油炮釘,KOF
晁弘祥,00:04:22,油炮釘,KOF
楊耕富,00:04:23,油炮釘,KOF
微風蔡,00:04:23,油炮釘,KOF
林昇賢,00:04:25,油炮釘,KOF
陳家福,00:04:26,油泡釘,KOF
黃小敏,00:04:28,油炮釘,KOF
吕學義,00:04:28,油炮釘,KOF
甲上上,00:04:30,油炮釘,KOF
易井田,00:04:30,油炮釘,KOF
Charger Tsai,00:04:31,油炮釘,KOF
陳小彥,00:04:34,油炮釘,KOF
牛頭耿,00:04:35,油炮釘,KOF
微風蔡,00:04:36,油炮釘,KOF
Cosmo Chiu,00:04:39,油炮釘,KOF
陳怡豪,00:04:40,油泡釘,KOF
Grace Lu,00:04:41,油炮釘,KOF
晁弘祥,00:04:42,油炮釘,KOF
林昇賢,00:04:42,油炮釘,KOF
微風蔡,00:04:43,油炮釘,KOF
甲上上,00:04:47,油炮釘,KOF
易井田,00:04:47,油炮釘,KOF
Hong Wen Lin,00:04:47,油炮釘,KOF
Jack Yeh,00:04:48,油炮釘,KOF
楊耕富,00:04:56,油炮釘,KOF
微風蔡,00:04:57,油炮釘,KOF
黃小敏,00:04:59,油炮釘,KOF
Yung Ming Tseng,00:04:59,油炮釘,KOF
李建成,00:05:00,油炮釘,KOF
微風蔡,00:05:05,油炮釘,KOF
黃小敏,00:05:05,油炮釘,KOF
陳怡豪,00:05:07,油炮釘,KOF
黃嫈婷,00:05:07,油炮釘,KOF
黃瑞全,00:05:11,油炮釘,KOF
Charger Tsai,00:05:14,油炮釘,KOF
甲上上,00:05:14,油炮釘,KOF
微風蔡,00:05:15,油炮釘,KOF
易井田,00:05:20,油炮釘,KOF
楊耕富,00:05:20,油炮釘,KOF
黃小敏,00:05:22,油炮釘,KOF
王彥景,00:05:24,油炮釘,KOF
林昇賢,00:05:25,油炮釘,KOF
微風蔡,00:05:30,油炮釘,KOF
牛頭耿,00:05:33,油炮釘,KOF
林昇賢,00:05:35,已分享,KOS
微風蔡,00:05:35,油炮釘,KOF
易井田,00:05:35,油炮釘,KOF
鄭堯隆,00:05:37,油砲釘,KOF
賴澐謄,00:05:39,油炮釘,KOF
Alan Wang,00:05:41,油炮釘,KOF
黃小敏,00:05:42,油炮釘,KOF
微風蔡,00:05:42,油炮釘,KOF
林昇賢,00:05:46,已分享,KOS
賴澐謄,00:05:47,油炮釘,KOF
微風蔡,00:05:48,油炮釘,KOF
楊耕富,00:05:49,油炮釘,KOF
賴澐謄,00:05:50,油炮釘,KOF
楊恭維,00:05:51,油炮釘,KOF
黃小敏,00:05:51,油炮釘,KOF
黃嫈婷,00:05:51,油炮釘,KOF
賴澐謄,00:05:54,油炮釘,KOF
李建成,00:05:54,油炮釘,KOF
微風蔡,00:05:56,油炮釘,KOF
賴澐謄,00:05:59,油炮釘,KOF
林昇賢,00:06:03,油炮釘,KOF
林坤和,00:06:09,油炮釘,KOF
賴澐謄,00:06:12,油炮釘,KOF
易井田,00:06:13,油炮釘,KOF
楊耕富,00:06:13,油炮釘,KOF
林昇賢,00:06:14,油炮釘,KOF
賴澐謄,00:06:16,油炮釘,KOF
鄭堯隆,00:06:19,油砲釘,KOF
微風蔡,00:06:21,油炮釘,KOF
賴澐謄,00:06:24,油炮釘,KOF
黃小敏,00:06:26,油炮釘,KOF
微風蔡,00:06:27,油炮釘,KOF
林昇賢,00:06:28,已分享,KOS
賴澐謄,00:06:28,油炮釘,KOF
賴澐謄,00:06:31,油炮釘,KOF
楊恭維,00:06:32,油炮釘,KOF
王彥景,00:06:33,油炮釘,KOF
賴澐謄,00:06:34,油炮釘,KOF
賴澐謄,00:06:39,油炮釘,KOF
鄭堯隆,00:06:40,油炮釘,KOF
黃小敏,00:06:44,油炮釘,KOF
黃嫈婷,00:06:45,油炮釘,KOF
宋智皓,00:06:45,油炮釘,KOF
賴澐謄,00:06:46,油炮釘,KOF
Hong Wen Lin,00:06:47,油炮釘,KOF
Soros Lin,00:06:50,油炮釘,KOF
賴澐謄,00:06:51,油炮釘,KOF
微風蔡,00:06:52,油炮釘,KOF
甲上上,00:06:52,油炮釘,KOF
楊耕富,00:06:52,油炮釘,KOF
Jeremy Huang,00:06:52,油炮釘,KOF
易井田,00:06:53,油炮釘,KOF
賴澐謄,00:06:54,油炮釘,KOF
賴澐謄,00:06:57,油炮釘,KOF
林昇賢,00:06:57,已分享,KOS
微風蔡,00:06:57,油炮釘,KOF
Alan Wang,00:07:00,油炮釘,KOF
微風蔡,00:07:01,油炮釘,KOF
賴澐謄,00:07:02,油炮釘,KOF
林坤和,00:07:02,已分享,KOS
易井田,00:07:03,油炮釘,KOF
微風蔡,00:07:05,油炮釘,KOF
賴澐謄,00:07:07,油炮釘,KOF
楊恭維,00:07:08,油炮釘,KOF
微風蔡,00:07:09,油炮釘,KOF
林昇賢,00:07:13,油炮釘,KOF
楊耕富,00:07:15,油炮釘,KOF
賴澐謄,00:07:16,油炮釘,KOF
易井田,00:07:18,油炮釘,KOF
賴澐謄,00:07:19,油炮釘,KOF
Hong Wen Lin,00:07:19,油炮釘,KOF
Jeremy Huang,00:07:22,油炮釘,KOF
孟慧玲,00:07:22,油炮釘,KOF
賴澐謄,00:07:23,油炮釘,KOF
林昇賢,00:07:24,油炮釘,KOF
賴澐謄,00:07:26,油炮釘,KOF
楊恭維,00:07:28,油炮釘,KOF
易井田,00:07:29,油炮釘,KOF
賴澐謄,00:07:31,油炮釘,KOF
Mprs Tty,00:07:31,油炮釘,KOF
黃小敏,00:07:32,油炮釘,KOF
賴澐謄,00:07:36,油炮釘,KOF
黃嫈婷,00:07:38,油炮釘,KOF
賴澐謄,00:07:39,油炮釘,KOF
夏旭明,00:07:40,油炮釘,KOF
王彥景,00:07:41,油炮釘,KOF
宋智皓,00:07:42,油炮釘,KOF
Alan Wang,00:07:43,油炮釘,KOF
賴澐謄,00:07:43,油炮釘,KOF
微風蔡,00:07:44,油炮釘,KOF
Hong Wen Lin,00:07:45,油炮釘,KOF
晁弘祥,00:07:46,油炮釘,KOF
賴澐謄,00:07:46,油炮釘,KOF
謝駿鎰,00:07:47,油砲丁,KOF
微風蔡,00:07:48,油炮釘,KOF
