user,time,comment,roles
鄭承洲,00:01:58,晚上好,KOF
坦臻,00:03:07,晚上好,KOF
黃壽祥,00:03:17,888,KOF
易井田,00:03:27,晚上好已分享,KOS
楊耕富,00:04:21,已分享晚上好,KOS
Jeremy Huang,00:05:28,暗席厚,KOF
Alex Chen,00:07:39,晚上好,KOF
Wei-Ssu Liao,00:07:43,老魚好.出國回來跟你打招呼,KOF
Jorneet Chen,00:08:16,已分享,KOS
劉俊鴻,00:10:46,1000,KOC
Sam Chung Ho,00:12:56,888,KOF
Wau Chin A,00:13:00,888,KOF
Sam Chung Ho,00:13:01,888,KOF
鄭承洲,00:13:03,888,KOF
Wau Chin A,00:13:03,888,KOF
Rich Chang,00:13:03,888,KOF
Sam Chung Ho,00:13:03,888,KOF
Sam Chung Ho,00:13:05,888,KOF
Moneyling Lo,00:13:08,888,KOF
Sam Chung Ho,00:13:08,888,KOF
Wau Chin A,00:13:08,888,KOF
Jack Yeh,00:13:09,888,KOF
黃明輝,00:13:09,888,KOF
吕學義,00:13:10,888,KOF
鄭承洲,00:13:10,888,KOF
Sam Chung Ho,00:13:10,888,KOF
Wau Chin A,00:13:11,888,KOF
黃明輝,00:13:12,888,KOF
Sam Chung Ho,00:13:13,888,KOF
Jack Yeh,00:13:13,888,KOF
黃明輝,00:13:14,888,KOF
Wau Chin A,00:13:14,888,KOF
Chun Chiang,00:13:15,888,KOF
Moneyling Lo,00:13:16,888,KOF
劉俊鴻,00:13:16,888,KOF
吕學義,00:13:16,888,KOF
Sam Chung Ho,00:13:16,888,KOF
Jack Yeh,00:13:16,888,KOF
鄭承洲,00:13:17,888,KOF
Wau Chin A,00:13:18,888,KOF
Jeremy Huang,00:13:18,888,KOF
黃明輝,00:13:19,888,KOF
Sam Chung Ho,00:13:19,888,KOF
Jack Yeh,00:13:20,888,KOF
吕學義,00:13:21,888,KOF
Sam Chung Ho,00:13:21,888,KOF
李景弘,00:13:21,888,KOF
洪文龍,00:13:21,888,KOF
黃明輝,00:13:22,888,KOF
鄭承洲,00:13:22,888,KOF
劉俊鴻,00:13:22,888,KOF
Wau Chin A,00:13:23,888,KOF
Sam Chung Ho,00:13:23,888,KOF
Jeremy Huang,00:13:23,888,KOF
Jack Yeh,00:13:24,888,KOF
黃明輝,00:13:25,888,KOF
洪文龍,00:13:25,888,KOF
Raymond Chen,00:13:25,888,KOF
鄭承洲,00:13:26,888,KOF
Wau Chin A,00:13:26,888,KOF
Sam Chung Ho,00:13:26,888,KOF
吕學義,00:13:26,888,KOF
Chun Chiang,00:13:28,888,KOF
Jack Yeh,00:13:28,888,KOF
Sam Chung Ho,00:13:28,888,KOF
洪文龍,00:13:29,888,KOF
吕學義,00:13:29,888,KOF
黃明輝,00:13:29,888,KOF
劉俊鴻,00:13:29,888,KOF
甲上上,00:13:30,888,KOF
Raymond Chen,00:13:30,888,KOF
Wau Chin A,00:13:30,888,KOF
Jack Yeh,00:13:31,888,KOF
鄭承洲,00:13:31,888,KOF
Sam Chung Ho,00:13:31,888,KOF
Wau Chin A,00:13:33,888,KOF
黃明輝,00:13:33,888,KOF
Sam Chung Ho,00:13:33,888,KOF
吕學義,00:13:33,888,KOF
Lee Destry,00:13:33,消炎用,other
洪文龍,00:13:33,888,KOF
甲上上,00:13:34,888,KOF
Jack Yeh,00:13:35,888,KOF
Jeremy Huang,00:13:35,888,KOF
鄭承洲,00:13:35,888,KOF
Jorneet Chen,00:13:35,888,KOF
Sam Chung Ho,00:13:36,888,KOF
Wau Chin A,00:13:36,888,KOF
黃明輝,00:13:36,888,KOF
Raymond Chen,00:13:37,888,KOF
洪文龍,00:13:37,888,KOF
吕學義,00:13:37,888,KOF
張家榮,00:13:38,888,KOF
陸家聲,00:13:38,888,KOF
Sam Chung Ho,00:13:38,888,KOF
Moneyling Lo,00:13:39,888,KOF
Wau Chin A,00:13:39,888,KOF
黃明輝,00:13:39,888,KOF
Jack Yeh,00:13:39,888,KOF
程泓榮,00:13:40,888,KOF
洪文龍,00:13:40,888,KOF
Jeremy Huang,00:13:40,888,KOF
張家榮,00:13:41,888,KOF
吕學義,00:13:41,888,KOF
甲上上,00:13:41,888,KOF
Sam Chung Ho,00:13:41,888,KOF
曾仁煜,00:13:41,888,KOF
鄭承洲,00:13:41,888,KOF
Jorneet Chen,00:13:42,888,KOF
Wau Chin A,00:13:42,888,KOF
Sam Chung Ho,00:13:43,888,KOF
黃明輝,00:13:43,888,KOF
Jack Yeh,00:13:43,888,KOF
Raymond Chen,00:13:43,888,KOF
吕學義,00:13:44,888,KOF
Moneyling Lo,00:13:44,888,KOF
陸家聲,00:13:44,888,KOF
程泓榮,00:13:44,888,KOF
張家榮,00:13:45,888,KOF
Jeremy Huang,00:13:45,888,KOF
洪文龍,00:13:45,888,KOF
Jorneet Chen,00:13:45,888,KOF
鄭承洲,00:13:45,888,KOF
Sam Chung Ho,00:13:46,888,KOF
Wau Chin A,00:13:46,888,KOF
Jack Yeh,00:13:46,888,KOF
黃明輝,00:13:47,888,KOF
甲上上,00:13:47,888,KOF
Jorneet Chen,00:13:48,888,KOF
吕學義,00:13:48,888,KOF
張家榮,00:13:48,888,KOF
陸家聲,00:13:48,888,KOF
Sam Chung Ho,00:13:48,888,KOF
鄭承洲,00:13:49,888,KOF
Wau Chin A,00:13:49,888,KOF
Moneyling Lo,00:13:49,888,KOF
Jeremy Huang,00:13:49,888,KOF
Jack Yeh,00:13:50,888,KOF
洪文龍,00:13:50,888,KOF
Lee Destry,00:13:50,888,KOF
張家榮,00:13:51,888,KOF
Sam Chung Ho,00:13:51,888,KOF
Lee Destry,00:13:51,888,KOF
甲上上,00:13:52,888,KOF
Jeremy Huang,00:13:52,888,KOF
陸家聲,00:13:52,888,KOF
高志輝,00:13:52,888,KOF
吕學義,00:13:52,888,KOF
黃明輝,00:13:52,888,KOF
Lee Destry,00:13:53,888,KOF
Jorneet Chen,00:13:53,888,KOF
洪文龍,00:13:54,888,KOF
高志輝,00:13:54,888,KOF
Lee Destry,00:13:54,888,KOF
Raymond Chen,00:13:54,888,KOF
程泓榮,00:13:54,888,KOF
Sam Chung Ho,00:13:54,888,KOF
鄭承洲,00:13:54,888,KOF
張家榮,00:13:55,888,KOF
李羿酉,00:13:55,888,KOF
黃正正,00:13:55,888,KOF
陸家聲,00:13:55,888,KOF
甲上上,00:13:55,888,KOF
Jack Yeh,00:13:56,888,KOF
Sam Chung Ho,00:13:56,888,KOF
Lee Destry,00:13:56,888,KOF
黃明輝,00:13:56,888,KOF
Jorneet Chen,00:13:56,888,KOF
Moneyling Lo,00:13:57,888,KOF
Jeremy Huang,00:13:57,888,KOF
高志輝,00:13:57,888,KOF
洪文龍,00:13:57,888,KOF
黃正正,00:13:57,888,KOF
Lee Destry,00:13:57,888,KOF
鄭承洲,00:13:58,888,KOF
吕學義,00:13:58,888,KOF
張家榮,00:13:58,888,KOF
黃明輝,00:13:59,888,KOF
Jorneet Chen,00:13:59,888,KOF
程泓榮,00:13:59,888,KOF
黃正正,00:13:59,888,KOF
