user,time,sec,from,to,text,svm_role,svm_conf,llm_conf,reason
Agan Chen,02:28:46,8926,null,KOF,666,KOF,0.708987047112283,0.71,符合KOF特徵
Agan Chen,02:32:49,9169,KOF,KOC,+1,KOC,0.7267824873503871,0.73,加一表示購買意圖
Alan Wang,00:03:51,231,,KOF,油炮釘,KOF,0.7272022141303652,0.73,提及商品但無購買意圖
Andy Yang,00:01:08,68,null,KOF,下午好，大木哥,KOF,0.6521249645289958,0.65,打招呼
Andy Yang,00:21:41,1301,KOF,KOC,12000,KOC,0.7353016389372378,0.74,表達購買意圖
Andy Yang,02:26:36,8796,KOC,KOF,666,KOF,0.708987047112283,0.71,表情回應非購買
Andy Yang,02:32:04,9124,KOF,KOC,+1,KOC,0.7267824873503871,0.73,加一表示購買意圖
Andy Yang,02:37:28,9448,KOC,other,我也是牡羊座,other,0.6276507216075472,0.63,内容与交易无关
Ba Ba Huang,00:08:20,500,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
Ba Ba Huang,02:32:21,9141,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
CC Hi,02:32:43,9163,,KOF,+1,KOC,0.7267824873503871,0.85,+1 為點贊
Charger Tsai,00:00:55,55,,KOF,大木哥 午安,KOF,0.7005311122282998,0.7,簡短問候
Charger Tsai,00:14:22,862,KOF,KOC,2113,KOC,0.7466617051172612,0.75,數字可能為購買意圖
Charger Tsai,00:55:22,3322,KOC,KOS,釘在牆壁可以掛衣服，大家覺得呢,KOS,0.6932428859153853,0.69,分享使用心得
Charger Tsai,01:08:03,4083,KOS,KOC,2800,KOC,0.7646197839778387,0.76,表達購買意圖
Charger Tsai,01:08:40,4120,KOC,KOF,支持,KOF,0.47697565298303213,0.48,短訊支持屬閒聊
Charger Tsai,01:08:45,4125,KOF,KOC,$2800,KOC,0.6527884817670213,0.65,金额表明购买意图
Charger Tsai,01:08:55,4135,KOC,KOF,謝謝大木哥,KOF,0.6912458298266946,0.69,感謝語屬互動
Charger Tsai,01:15:14,4514,KOF,KOC,￼1700,KOC,0.6894804500532921,0.69,價格訊息暗示購買意圖
Charger Tsai,01:17:46,4666,KOC,KOS,很橫材我買了好幾根扁柏，目前等他裂,KOC,0.5888678756585553,0.72,分享使用心得
Charger Tsai,01:29:37,5377,KOS,KOC,999,KOC,0.6660714479541306,0.67,數字暗示購買意圖
Charger Tsai,01:37:51,5871,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀語屬互動
Charger Tsai,01:43:49,6229,KOF,KOS,這個應該可以按照裂縫切成4座賣,KOS,0.7052558068314231,0.71,分享使用心得
Charger Tsai,01:49:04,6544,KOS,KOC,有扁薄的細根帶皮嗎？,KOC,0.6991181504576441,0.7,詢問產品細節
Charger Tsai,01:52:45,6765,KOC,KOS,紋路還在可以,KOS,0.6748323346790348,0.67,分享使用心得
Charger Tsai,01:53:18,6798,KOS,KOC,3688,KOC,0.6885635915960477,0.69,數字暗示購買意圖
Charger Tsai,01:53:53,6833,KOC,KOF,謝謝大木哥,KOF,0.6912458298266946,0.69,感謝語屬互動
Charger Tsai,02:16:29,8189,KOF,KOC,這樣等於一支筆加筆盒不到$1000,KOC,0.662085773827787,0.66,提到價格，暗示購買意圖
Charger Tsai,02:26:55,8815,KOC,KOF,666,KOF,0.708987047112283,0.71,用數字表達讚賞
Charger Tsai,02:32:26,9146,KOF,KOC,+1,KOC,0.7267824873503871,0.73,留言含交易意圖
Charger Tsai,02:39:44,9584,KOC,KOF,噗,other,0.7072551728731341,0.82,簡短聊天，非購買意圖
Charger Tsai,02:41:29,9689,KOF,KOC,5000,KOC,0.6621085387782638,0.66,表達購買意圖
Charger Tsai,02:41:57,9717,KOC,KOF,謝謝大木哥,KOF,0.6912458298266946,0.69,感謝訊息屬於互動
